date_start,title,lst_keywords,len_keywords,link,extracted
04.08.2020,QA Engineer,"python,bash,selenium,java,shell",31,https://www.jobs.bg/5387505,true
03.08.2020,DevOps Engineer,"swift,go,aws,python",19,https://www.jobs.bg/5386423,true
03.08.2020,NOC Specialist,"basic,bash,shell,python",23,https://www.jobs.bg/5385035,true
01.08.2020,NOC Manager,"python,shell,perl",17,https://www.jobs.bg/5383993,true
31.07.2020,Data Engineer,"hdfs,spark,airflow,jupyter,python,mlflow,go,ml,java,etl",55,https://www.jobs.bg/5384492,true
31.07.2020,DevOps Engineer,"java,aws,python",15,https://www.jobs.bg/5384258,true
31.07.2020,Casino Software Product Tech Lead,"java,c,aws,python",17,https://www.jobs.bg/5384138,true
30.07.2020,Senior DevOps Engineer for Coursera Labs Bulgaria,"aws,python,r,c,bash",19,https://www.jobs.bg/5383858,true
30.07.2020,Senior DevOps / Site Reliability Engineer,"swift,go,aws,python",19,https://www.jobs.bg/5383663,true
30.07.2020,Data Engineer,"sql,spark,airflow,java,python,excel,scala,c++,etl",49,https://www.jobs.bg/5383258,true
30.07.2020,Machine Learning Engineer,"ml,excel,python",15,https://www.jobs.bg/5383195,true
29.07.2020,Software Engineer,"go,java,sql,python",18,https://www.jobs.bg/5382488,true
29.07.2020,Automation QA,"sql,python,c,basic,selenium,java",32,https://www.jobs.bg/5382188,true
29.07.2020,Mid to Senior DevOps Engineer,"perl,python,php,go,c,bash,java",30,https://www.jobs.bg/5381835,true
28.07.2020,AWS Data Engineer,"sql,aws,spark,java,python,scala,pandas,hive,shell,hadoop",56,https://www.jobs.bg/5381326,true
28.07.2020,Software Engineer,"c++,aws,python,go,scala,ruby,c,java",35,https://www.jobs.bg/5380597,true
27.07.2020,DATA SCIENTIST (with Power BI),"r,python",8,https://www.jobs.bg/5379077,true
24.07.2020,HADOOP ADMINISTRATION EXPERT,"hdfs,java,python,r,zookeeper,hbase,hive,hadoop",46,https://www.jobs.bg/5377676,true
24.07.2020,Golang Developer (Cloud),"c++,python,go,ruby,c,java",25,https://www.jobs.bg/5377552,true
24.07.2020,LINUX ADMINISTRATOR,"bash,python",11,https://www.jobs.bg/5377137,true
20.08.2020,Python Engineer,"aws,sql,python,java",19,https://www.jobs.bg/5405432,true
17.08.2020,Python Developer,"c,python",8,https://www.jobs.bg/5400598,true
14.08.2020,Python Back-end Engineer,"django,python",13,https://www.jobs.bg/5399361,true
